ph,temperature,turbidity,fish
6.5,21.0,5.0,tilapia
5.9,25.0,5.5,tilapia
5.6,27.0,6.8,tilapia
7.1,28.0,6.1,tilapia
6.8,27.0,7.2,tilapia
7.1,28.0,6.1,tilapia
6.1,24.0,3.0,tilapia
6.2,25.0,4.0,tilapia
6.3,26.0,3.5,tilapia
6.4,24.0,4.1,tilapia
6.5,26.0,4.2,tilapia
6.6,26.0,4.3,tilapia
6.7,25.0,4.5,tilapia
6.8,26.0,3.1,tilapia
7.0,25.0,3.2,tilapia
7.5,24.0,3.3,tilapia
7.8,25.0,3.4,tilapia
7.9,26.0,3.5,tilapia
8.0,26.0,3.6,tilapia
8.2,24.0,3.7,tilapia
8.3,25.0,3.8,tilapia
7.2,26.0,3.9,tilapia
7.4,26.0,3.0,tilapia
8.9,27.0,3.0,tilapia
9.0,28.0,3.3,tilapia
7.67,17.62,3.56,tilapia
8.39,17.5,3.56,tilapia
8.24,17.56,3.55,tilapia
8.26,17.75,3.55,tilapia
8.23,17.56,3.55,tilapia
8.31,17.69,3.56,tilapia
8.38,17.69,3.56,tilapia
7.84,17.56,3.57,tilapia
6.7,17.5,3.56,tilapia
6.02,17.62,3.57,tilapia
8.16,17.62,3.55,tilapia
8.23,17.56,3.55,tilapia
7.96,17.62,3.56,tilapia
7.79,17.75,3.56,tilapia
7.88,17.75,3.55,tilapia
7.84,17.69,3.55,tilapia
8.18,17.69,3.56,tilapia
8.16,17.75,3.56,tilapia
8.32,17.56,3.56,tilapia
8.23,17.56,3.56,tilapia
8.65,17.75,3.44,tilapia
8.66,17.87,3.45,tilapia
8.74,17.94,3.41,tilapia
8.57,17.87,3.46,tilapia
8.79,17.94,3.5,tilapia
8.79,17.94,3.5,tilapia
7.67,17.62,3.56,tilapia
8.39,17.5,3.56,tilapia
8.24,17.56,3.55,tilapia
8.26,17.75,3.55,tilapia
8.23,17.56,3.55,tilapia
8.31,17.69,3.56,tilapia
8.38,17.69,3.56,tilapia
7.84,17.56,3.57,tilapia
6.7,17.5,3.56,tilapia
6.02,17.62,3.57,tilapia
8.16,17.62,3.55,tilapia
8.23,17.56,3.55,tilapia
7.96,17.62,3.56,tilapia
7.79,17.75,3.56,tilapia
7.88,17.75,3.55,tilapia
7.84,17.69,3.55,tilapia
8.18,17.69,3.56,tilapia
8.16,17.75,3.56,tilapia
8.32,17.56,3.56,tilapia
8.23,17.56,3.56,tilapia
8.65,17.75,3.44,tilapia
8.66,17.87,3.45,tilapia
8.74,17.94,3.41,tilapia
8.57,17.87,3.46,tilapia
8.79,17.94,3.5,tilapia
8.79,17.94,3.5,tilapia
7.67,17.62,3.56,tilapia
8.39,17.5,3.56,tilapia
8.24,17.56,3.55,tilapia
8.26,17.75,3.55,tilapia
8.23,17.56,3.55,tilapia
8.31,17.69,3.56,tilapia
8.38,17.69,3.56,tilapia
7.84,17.56,3.57,tilapia
6.7,17.5,3.56,tilapia
6.02,17.62,3.57,tilapia
8.16,17.62,3.55,tilapia
8.23,17.56,3.55,tilapia
7.96,17.62,3.56,tilapia
7.79,17.75,3.56,tilapia
7.88,17.75,3.55,tilapia
7.84,17.69,3.55,tilapia
8.18,17.69,3.56,tilapia
8.16,17.75,3.56,tilapia
8.32,17.56,3.56,tilapia
8.23,17.56,3.56,tilapia
8.65,17.75,3.44,tilapia
8.66,17.87,3.45,tilapia
8.74,17.94,3.41,tilapia
8.57,17.87,3.46,tilapia
8.79,17.94,3.5,tilapia
8.79,17.94,3.5,tilapia
7.67,17.62,3.56,tilapia
8.39,17.5,3.56,tilapia
8.24,17.56,3.55,tilapia
8.26,17.75,3.55,tilapia
8.23,17.56,3.55,tilapia
8.31,17.69,3.56,tilapia
8.38,17.69,3.56,tilapia
7.84,17.56,3.57,tilapia
6.7,17.5,3.56,tilapia
6.02,17.62,3.57,tilapia
8.16,17.62,3.55,tilapia
8.23,17.56,3.55,tilapia
7.96,17.62,3.56,tilapia
7.79,17.75,3.56,tilapia
7.88,17.75,3.55,tilapia
7.84,17.69,3.55,tilapia
8.18,17.69,3.56,tilapia
8.16,17.75,3.56,tilapia
8.32,17.56,3.56,tilapia
8.23,17.56,3.56,tilapia
8.65,17.75,3.44,tilapia
8.66,17.87,3.45,tilapia
8.74,17.94,3.41,tilapia
8.57,17.87,3.46,tilapia
8.79,17.94,3.5,tilapia
8.79,17.94,3.5,tilapia
